"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"165","HEU-COMP-THERM-021-033",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00708,0.00046
"166","HEU-COMP-THERM-021-033",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00906,0.00041
"167","HEU-COMP-THERM-021-034",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00728,0.00049
"168","HEU-COMP-THERM-021-034",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01008,0.00042
"169","HEU-COMP-THERM-021-035",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00705,0.00045
"170","HEU-COMP-THERM-021-035",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00991,0.00036
"171","HEU-COMP-THERM-021-036",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00708,4e-04
"172","HEU-COMP-THERM-021-036",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00939,0.00041
"173","HEU-COMP-THERM-021-037",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00868,0.00042
"174","HEU-COMP-THERM-021-037",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01007,0.00041
"175","HEU-COMP-THERM-021-038",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00895,4e-04
"176","HEU-COMP-THERM-021-038",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01052,0.00043
"177","HEU-COMP-THERM-021-039",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00783,4e-04
"178","HEU-COMP-THERM-021-039",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00956,0.00048
"179","HEU-COMP-THERM-021-040",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00869,0.00042
"180","HEU-COMP-THERM-021-040",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01064,0.00039
"181","HEU-COMP-THERM-021-041",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00801,0.00041
